stat,mbti,enneagram,role,movie,img_url
1 / 1  ,ESTJ,8w9,Major Bergmann,"   Roma, Open City (1945)",https://www.personality-database.com/profile_images/217739.png?=undefined
1 / 0  ,ESTJ,,Mommy Fortuna,   The Last Unicorn (1982),https://www.personality-database.com/profile_images/184549.png?=undefined
1 / 1  ,ESTJ,3w2,Clayton Townley,   Mississippi Burning,https://www.personality-database.com/profile_images/218001.png?=undefined
1 / 1  ,ESTJ,8w7,Frank Bailey,   Mississippi Burning,https://www.personality-database.com/profile_images/218008.png?=undefined
1 / 1  ,ESTJ,8w9,Mayor Tilman,   Mississippi Burning,https://www.personality-database.com/profile_images/217998.png?=undefined
1 / 1  ,ESTJ,8w9,Agent Rupert Anderson,   Mississippi Burning,https://www.personality-database.com/profile_images/217993.png?=undefined
1 / 0  ,ESTJ,,Director Josef,   Gattaca (1997),https://www.personality-database.com/profile_images/31143.png?=undefined
1 / 1  ,ESTJ,6w5,Nurse Virginia Alves (Halloween II),   Halloween (1978),https://www.personality-database.com/profile_images/220127.png?=undefined
1 / 0  ,ESTJ,,Madame Liang,   Eat Drink Man Woman,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Pauline Fossil,   Ballet Shoes,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Nana,   Ballet Shoes,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Demetrius,   A Midsummer Night's Dream (1999),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Chief Blue Meanie,   Yellow Submarine (1968),https://www.personality-database.com/profile_images/188426.png?=undefined
1 / 1  ,ESTJ,1w2,Anne Howard,   The Patriot (2000),https://www.personality-database.com/profile_images/93676.png?=undefined
1 / 1  ,ESTJ,1w9,The Lord,   Belladonna of Sadness,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Virginia Venit,   Happy Gilmore (1996),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Commander John J. Adams,   Forbidden Planet ( 1956 ),https://www.personality-database.com/profile_images/87894.png?=undefined
1 / 1  ,ESTJ,6w5,Winifred Ames,   Wag the Dog (1997),https://www.personality-database.com/profile_images/221610.png?=undefined
1 / 1  ,ESTJ,8w9,Allan Quatermain,   The League of Extraordinary Gentlemen (2003),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w7,Earl de Darkwood,   Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),https://www.personality-database.com/profile_images/221704.png?=undefined
1 / 0  ,ESTJ,,Rachin,   Les Choristes (2004),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Dr. Ben Lewis,   Accepted (2006),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Steve Shanahan,   Shallow Hal (2001),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,1w2,Tom Gibbons,   Malibu’s Most Wanted (2003),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Raymond Ainsley,   Hollywood (miniserie),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Natasha Glenville,   Bridget Jones's Diary (franchise),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Zus Bielski,   Defiance (2008),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w9,Warden,   Megamind (2010),https://www.personality-database.com/profile_images/223366.png?=undefined
1 / 1  ,ESTJ,1w2,Susan Walker,   Miracle on 34th Street (1947),https://www.personality-database.com/profile_images/223945.png?=undefined
1 / 1  ,ESTJ,3w4,Granville Sawyer,   Miracle on 34th Street (1947),https://www.personality-database.com/profile_images/223946.png?=undefined
1 / 0  ,ESTJ,,First Centurion,   Monty Python's Life of Brian (1979),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Capulet,   Romeo and Juliet: Sealed with a Kiss,https://www.personality-database.com/profile_images/224392.png?=undefined
1 / 0  ,ESTJ,,Barricade,   Transformers (Bayverse),https://www.personality-database.com/profile_images/224840.png?=undefined
1 / 0  ,ESTJ,,Major Dalby,   Harry Palmer,https://www.personality-database.com/profile_images/108653.png?=undefined
1 / 0  ,ESTJ,,Beauty Smith,   White Fang (1991),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Russell McCormack,"   Definitely, Maybe",https://www.personality-database.com/profile_images/225172.png?=undefined
1 / 1  ,ESTJ,8w9,King Mongkut,   The King And I (1999),https://www.personality-database.com/profile_images/225570.png?=undefined
1 / 0  ,ESTJ,,Savanna,   Wonder (2017),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,1w9,Sister Summersisle,   The Wicker Man (2006),https://www.personality-database.com/profile_images/90910.png?=undefined
1 / 1  ,ESTJ,8w9,Capt. Sam Bennett,   Bullitt (1968),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Joyce Stewart,   Megan Is Missing (2011),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Rachel,   Fallen,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Lamia,   Stardust (2007 film),https://www.personality-database.com/profile_images/189556.png?=undefined
1 / 0  ,ESTJ,,King,   Stardust (2007 film),https://www.personality-database.com/profile_images/208460.png?=undefined
1 / 0  ,ESTJ,,Jack's Eye,   King Arthur: Legend of the Sword (2017),https://www.personality-database.com/profile_images/225001.png?=undefined
1 / 0  ,ESTJ,,Ludovic Cruchot,   Le Gendarme,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Carlos Suarez,   Dirty Dancing: Havana Nights,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Rampage,   Transformers (Bayverse),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Baltus Hafez,   The Mummy (1999 - 2008),https://www.personality-database.com/profile_images/225877.png?=undefined
1 / 0  ,ESTJ,,Commander Denniston,   The Imitation Game (2014),https://www.personality-database.com/profile_images/227706.png?=undefined
1 / 0  ,ESTJ,,Ahmad Shah Abdali,   Panipat,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Warden,   Shutter Island (2010),https://www.personality-database.com/profile_images/147661.png?=undefined
1 / 1  ,ESTJ,6w5,Grumalda,   The Long Hair of Death (1964),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Yancey Roberts,   Re-Animated (2006),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,2w3,Cornell Shaw,   28 Days (2000),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Лена,   Трудные подростки,https://www.personality-database.com/profile_images/229303.png?=undefined
1 / 0  ,ESTJ,,Nelly Boxall,   The Hours (2002),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,3w4,Captain Hanks,   Men of honor (2000),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,3w2,Antoine,   It's Only the End of the World,https://www.personality-database.com/profile_images/230242.png?=undefined
1 / 0  ,ESTJ,,Tracy Lord,   The Philadelphia Story,https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w7,Mr. Church,   Expendables,https://www.personality-database.com/profile_images/187256.png?=undefined
1 / 0  ,ESTJ,,Hana,"   Taxi ( تاکسی , 2015)",https://www.personality-database.com/profile_images/230671.png?=undefined
1 / 0  ,ESTJ,,Duchess Rowena,   Barbie and the 12 Dancing Princesses (2006),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Staff Sgt. Sykes,   Jarhead,https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,1w9,Forstander Frederik He,   Der Kommer en Dag (The Day will come),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w7,Polaris,   The Little Panda Fighter,https://www.personality-database.com/profile_images/231146.png?=undefined
1 / 0  ,ESTJ,,King Brahmwell,   Jack the Giant Slayer ( 2013 ),https://www.personality-database.com/profile_images/89800.png?=undefined
1 / 0  ,ESTJ,,Mayor Cole,   City Of Ember,https://www.personality-database.com/profile_images/229888.png?=undefined
1 / 1  ,ESTJ,8w7,"Edward Carver ""Water Street Butcher""",   The Poughkeepsie Tapes,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Gestapo-man Breitner,   Soldaat van Oranje / Soldier of Orange (1977),https://www.personality-database.com/profile_images/187127.png?=undefined
1 / 0  ,ESTJ,,Bren MacGuff,   Juno (2007),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Jen Palmer,   Blended (2014),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w9,Max Brewer,   D.E.B.S. (2004),https://www.personality-database.com/profile_images/228845.png?=undefined
1 / 0  ,ESTJ,,Dr. Heller,   The Meg (2018),https://www.personality-database.com/profile_images/229348.png?=undefined
1 / 0  ,ESTJ,,Napoleon,   The Aristocats (1970),https://www.personality-database.com/profile_images/232830.png?=undefined
1 / 0  ,ESTJ,,Lampiao,   City of God (2002),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w7,Rungrong,   The Leaves (ฺBai Mai Tee Plid Plew),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Norman Cohen,   Front of the Class (2008),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Lacke,   Let the Right One In (2008),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Eduardo,   Rio (2011),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Kim-Ly,   Turbo,https://www.personality-database.com/profile_images/197494.png?=undefined
1 / 0  ,ESTJ,,Colonel Jonathan 'Jack' O'Neil,   Stargate (1994),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Once-ler's mother,   The Lorax (2012),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Prince Jack,   A Christmas Princess,https://www.personality-database.com/profile_images/235194.png?=undefined
1 / 0  ,ESTJ,,"'Petite Feuille', the French teacher",   The 400 Blows (1959),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,David Mills,   Being Charlie,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Pat Bevan,   Nativity (2009),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Linda,   The Wedding Singer (1998),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Demon torturer,   Mortal Kombat Legends: Scorpion's Revenge (2020),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Goro,   Mortal Kombat Legends: Scorpion's Revenge (2020),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Blanche Munchnik,   Mixed Nuts,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Christine,   Surviving Christmas,https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w9,George Fox,   Starman (1984),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,6w7,"Bradford 'Brad' McVie,",   Four Christmases/Four Holidays (2008),https://www.personality-database.com/profile_images/80503.png?=undefined
1 / 0  ,ESTJ,,Linnie McCallister,   Home Alone (1990),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,The Monk,   The Seventh Seal (1957),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Franjean,   Willow (1988),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w7,Mrs. Beech,   Goodnight Mister Tom,https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,6w5,Oliver Yates,   Cat People (1942),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Gene Kranz,   Apollo 13 (1995),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,8w7,Samuel Johnson Clayton,   The Searchers (1956),https://www.personality-database.com/images/profile_transparent.png
1 / 1  ,ESTJ,3w4,Keller,   Safety (2020),https://www.personality-database.com/profile_images/239087.png?=undefined
1 / 1  ,ESTJ,1w2,Coach Tommy Bowden,   Safety (2020),https://www.personality-database.com/profile_images/239086.png?=undefined
1 / 1  ,ESTJ,3w2,Mr. Spector,   Matinee (1993),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,IV. Murat,   İstanbul Kanatlarımın Altında (1996),https://www.personality-database.com/profile_images/239439.png?=undefined
1 / 0  ,ESTJ,,Santa (Huang Qing Shin),   Last Christmas (2019),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Cutler,   Ma Rainey's Black Bottom (2020),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Sturdyvant,   Ma Rainey's Black Bottom (2020),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Marie,   When Harry Met Sally... (1989),https://www.personality-database.com/profile_images/198892.png?=undefined
1 / 0  ,ESTJ,,Philip Lyttelton Gell,   The Professor and the Madman (2019),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Soldado Orozco,   My best enemy (Mi mejor enemigo) (2005),https://www.personality-database.com/profile_images/240031.png?=undefined
1 / 0  ,ESTJ,,Patrícia Rocha,   Cinderela Pop,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,César Dorella,   Cinderela Pop,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Ângela Cristina,"   Fala Sério, Mãe!",https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Carola,   Modo Avião,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Alice,   Confissões de Adolescente,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Talita,   Confissões de Adolescente,https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Chefe da Guarda,   O Cavaleiro Didi e a Princesa Lili (2006),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Lorelai,   Hannah Montana: The Movie (2009),https://www.personality-database.com/profile_images/228580.png?=undefined
1 / 1  ,ESTJ,7w6,Station Inspector Gustave,   Hugo (2011),https://www.personality-database.com/images/profile_transparent.png
1 / 0  ,ESTJ,,Martin Burney,   Sleeping with the Enemy,https://www.personality-database.com/profile_images/222481.png?=undefined
,ESTJ,,Mrs. Austen,   Becoming Jane (2007),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,1w9,Empress Maria Theresa,   Marie Antoinette (2006),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,Osbourne Cox,   Burn After Reading (2008),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,Mr. Dorothy Macha,   Revolver (2005),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,1w2,Tabitha Dickinson,   Birdman or (The Unexpected Virtue of Ignorance) (2014),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,William Monroe,   Inheritance,https://www.personality-database.com/images/profile_transparent.png
,ESTJ,3w2,Page,   Valentine (2001),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,8w9,Edmund Tilney,   Shakespeare in love,https://www.personality-database.com/images/profile_transparent.png
,ESTJ,8w7,Richard Burbage,   Shakespeare in love,https://www.personality-database.com/images/profile_transparent.png
,ESTJ,8w7,Ovi Sr.,   Extraction (2020),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,8w7,Vincent,   Chappie (2015),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,8w9,Benjamin Ballon,   The Pink Panther (film series),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,8w7,Dominique Ballon,   The Pink Panther (film series),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,3w2,Paul Holt,   Friday the 13th (1980),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,Judge Marshall Stevens,   Liar Liar (1997),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,3w2,Hugh Fennyman,   Shakespeare in love,https://www.personality-database.com/images/profile_transparent.png
,ESTJ,1w2,Mrs. Desjardin,   Carrie (2002),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,General Tilney,   Northanger Abbey (2007),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,8w7,Rosaleen,   The Secret Life of Bees (2008),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,King Leopold I of Belgium,   Young Victoria (2009),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,Sir John Conroy,   Young Victoria (2009),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,6w7,Isaacs,   Hanna (2011),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,1w9,Mr Brocklehurst,   Jane Eyre (2011),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,8w9,Mrs Reed,   Jane Eyre (2011),https://www.personality-database.com/profile_images/92404.png?=undefined
,ESTJ,,Roland Turner,   Inside Llewyn Davis (2013),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,1w9,Madame Angellier,   Suite Française (2015),https://www.personality-database.com/images/profile_transparent.png
,XXXX,,Joan,"   The Way, Way Back (2013)",https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,Pappy O’Daniel,"   O Brother, Where Art Thou?",https://www.personality-database.com/images/profile_transparent.png
,XXXX,,Mitchell Garabedian,   Spotlight (2015),https://www.personality-database.com/images/profile_transparent.png
,ESTJ,,Hookfang,   How to Train Your Dragon (Franchise),https://www.personality-database.com/profile_images/220256.png?=undefined
,XXXX,,Carla Santini,   Confessions of a Teenage Drama Queen,https://www.personality-database.com/profile_images/239693.png?=undefined
874 / 238  ,ENFP,6w7,"Peter Parker ""Spider-Man""",   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/2589.png?=undefined
796 / 277  ,ENFP,7w6,Anna,   Frozen (Franchise),https://www.personality-database.com/profile_images/749.png?=undefined
649 / 306  ,ENFP,6w7,Rapunzel,   Tangled (2010),https://www.personality-database.com/profile_images/825.png?=undefined
437 / 115  ,ENFP,7w6,"Harleen Quinzel ""Harley Quinn""",   DC Extended Universe,https://www.personality-database.com/profile_images/3389.png?=undefined
422 / 157  ,ENFP,7w6,Ariel,   The Little Mermaid (1989),https://www.personality-database.com/profile_images/826.png?=undefined
377 / 173  ,ENFP,4w3,Willy Wonka,   Charlie and the Chocolate Factory (2005),https://www.personality-database.com/profile_images/23210.png?=undefined
368 / 117  ,ENFP,7w6,Olaf,   Frozen (Franchise),https://www.personality-database.com/profile_images/751.png?=undefined
357 / 123  ,ENFP,7w6,Karen Smith,   Mean Girls (2004),https://www.personality-database.com/profile_images/8798.png?=undefined
326 / 104  ,ENFP,2w3,Peeta Mellark,   The Hunger Games,https://www.personality-database.com/profile_images/722.png?=undefined
282 / 102  ,ENFP,3w4,"Buddy Pine ""Syndrome""",   The Incredibles (Franchise),https://www.personality-database.com/profile_images/11031.png?=undefined
276 / 76  ,ENFP,7w6,Elizabeth Bennet,   Pride and Prejudice (2005),https://www.personality-database.com/profile_images/7574.png?=undefined
261 / 95  ,ENFP,6w7,Enola Holmes,   Enola Holmes (2020),https://www.personality-database.com/profile_images/153088.png?=undefined
260 / 81  ,ENFP,9w1,Mavis,   Hotel Transylvania (2012),https://www.personality-database.com/profile_images/12270.png?=undefined
240 / 86  ,ENFP,3w4,King Julien,   Madagascar (Franchise),https://www.personality-database.com/profile_images/1943.png?=undefined
238 / 138  ,ENFP,8w7,"Josephine ""Jo"" March",   Little Women (2019),https://www.personality-database.com/profile_images/77751.png?=undefined
236 / 87  ,ENFP,9w8,Po,   Kung Fu Panda (franchise),https://www.personality-database.com/profile_images/6503.png?=undefined
215 / 62  ,ENFP,7w6,Dory,   Finding Nemo (Franchise),https://www.personality-database.com/profile_images/3072.png?=undefined
215 / 56  ,ENFP,6w7,Finn / FN-2187,   Star Wars,https://www.personality-database.com/profile_images/2122.png?=undefined
205 / 82  ,ENFP,7w6,Sid,   Ice Age (Franchise),https://www.personality-database.com/profile_images/5796.png?=undefined
205 / 78  ,ENFP,7w6,Bing Bong,   Inside Out (2015),https://www.personality-database.com/profile_images/864.png?=undefined
201 / 117  ,ENFP,4w3,"Christine ""Lady Bird"" McPherson",   Lady Bird (2017),https://www.personality-database.com/profile_images/9240.png?=undefined
195 / 89  ,ENFP,7w8,Peter Pan,   Peter Pan (1953),https://www.personality-database.com/profile_images/3941.png?=undefined
193 / 94  ,ENFP,3w4,The Once-ler,   The Lorax (2012),https://www.personality-database.com/profile_images/10989.png?=undefined
191 / 79  ,ENFP,7w6,Marty the Zebra,   Madagascar (Franchise),https://www.personality-database.com/profile_images/1940.png?=undefined
169 / 68  ,ENFP,2w1,"Emily, the Corpse Bride",   Corpse Bride (2005),https://www.personality-database.com/profile_images/5598.png?=undefined
161 / 55  ,ENFP,7w8,Lilo Pelekai,   Lilo & Stitch (2002),https://www.personality-database.com/profile_images/873.png?=undefined
159 / 29  ,ENFP,7w6,Genie,   Aladdin (1992),https://www.personality-database.com/profile_images/2929.png?=undefined
153 / 56  ,ENFP,7w6,Ellie,   Up (2009),https://www.personality-database.com/profile_images/4269.png?=undefined
145 / 63  ,ENFP,4w5,John Keating,   Dead Poets Society (1989),https://www.personality-database.com/profile_images/12061.png?=undefined
145 / 54  ,ENFP,6w7,Grand Duchess Anastasia Nikolaevna of Russia,   Anastasia (1997),https://www.personality-database.com/profile_images/5934.png?=undefined
144 / 58  ,ENFP,7w6,Agnes,   Despicable Me,https://www.personality-database.com/profile_images/3361.png?=undefined
144 / 54  ,ENFP,7w8,Clementine Kruczynski,   Eternal Sunshine of the Spotless Mind (2004),https://www.personality-database.com/profile_images/5635.png?=undefined
129 / 58  ,ENFP,7w6,Nymphadora Tonks,   Harry Potter (franchise),https://www.personality-database.com/profile_images/45169.png?=undefined
121 / 35  ,ENFP,7w6,Fred,   Big Hero 6 (2014),https://www.personality-database.com/profile_images/857.png?=undefined
118 / 41  ,ENFP,2w3,Tinker Bell,   Tinker Bell (2008),https://www.personality-database.com/profile_images/35153.png?=undefined
117 / 50  ,ENFP,7w6,Andy Davis,   Toy Story (Franchise),https://www.personality-database.com/profile_images/884.png?=undefined
117 / 45  ,ENFP,7w8,Mad Hatter,   Alice in Wonderland (2010),https://www.personality-database.com/profile_images/28529.png?=undefined
115 / 59  ,ENFP,7w6,Borat Sagdiyev,   BoratFilms,https://www.personality-database.com/profile_images/58885.png?=undefined
112 / 39  ,ENFP,4w3,Alice Cullen,   Twilight,https://www.personality-database.com/profile_images/11577.png?=undefined
99 / 46  ,ENFP,7w6,Damien,   Mean Girls (2004),https://www.personality-database.com/profile_images/35197.png?=undefined
95 / 34  ,ENFP,7w6,Lucy Wilde,   Despicable Me,https://www.personality-database.com/profile_images/3363.png?=undefined
92 / 35  ,ENFP,7w6,Truman Burbank,   The Truman Show (1998),https://www.personality-database.com/profile_images/9191.png?=undefined
91 / 20  ,ENFP,7w6,BB-8,   Star Wars,https://www.personality-database.com/profile_images/3956.png?=undefined
85 / 33  ,ENFP,6w5,"Johannes ""Jojo"" Betzler",   Jojo Rabbit (2019),https://www.personality-database.com/profile_images/66577.png?=undefined
83 / 17  ,ENFP,3w2,Calypso,   Pirates of the Caribbean,https://www.personality-database.com/profile_images/2933.png?=undefined
81 / 19  ,ENFP,2w3,Aunt Cass,   Big Hero 6 (2014),https://www.personality-database.com/profile_images/832.png?=undefined
80 / 30  ,ENFP,7w6,Maria von Trapp,   The Sound of Music (1965),https://www.personality-database.com/profile_images/5761.png?=undefined
79 / 32  ,ENFP,3w2,Harry Osborn,   The Spider-Man Trilogy,https://www.personality-database.com/profile_images/1084.png?=undefined
75 / 29  ,ENFP,5w4,Flint Lockwood,   Cloudy with a Chance of Meatballs (2009),https://www.personality-database.com/profile_images/34669.png?=undefined
73 / 33  ,ENFP,7w6,Barley Lightfoot,   Onward (2020),https://www.personality-database.com/profile_images/97790.png?=undefined
73 / 30  ,ENFP,7w6,Austin Powers,   Austin Powers,https://www.personality-database.com/profile_images/5733.png?=undefined
70 / 22  ,ENFP,7w6,Korg,   Marvel Cinematic Universe,https://www.personality-database.com/profile_images/17380.png?=undefined
69 / 31  ,ENFP,7w8,Jack-Jack Parr,   The Incredibles (Franchise),https://www.personality-database.com/profile_images/13417.png?=undefined
68 / 19  ,ENFP,6w7,Nicole Barber,   Marriage Story (2019),https://www.personality-database.com/profile_images/73254.png?=undefined
67 / 28  ,ENFP,7w8,Howard Ratner,   Uncut Gems (2019),https://www.personality-database.com/profile_images/75691.png?=undefined
67 / 16  ,ENFP,3w4,King Candy/Turbo,   Wreck-it Ralph (Franchise),https://www.personality-database.com/profile_images/831.png?=undefined
67 / 18  ,ENFP,6w5,Bubba Blue,   Forrest Gump (1994),https://www.personality-database.com/profile_images/17176.png?=undefined
64 / 35  ,ENFP,7w6,Roo,   Winnie the Pooh (2011),https://www.personality-database.com/profile_images/8749.png?=undefined
62 / 31  ,ENFP,7w6,Captain B. McCrea,   WALL·E (2008),https://www.personality-database.com/profile_images/24336.png?=undefined
61 / 27  ,ENFP,7w6,Grandmother Fa,   Mulan (1998),https://www.personality-database.com/profile_images/31069.png?=undefined
61 / 18  ,ENFP,9w8,Queen Iduna,   Frozen (Franchise),https://www.personality-database.com/profile_images/12724.png?=undefined
60 / 24  ,ENFP,7w6,Wolfgang Amadeus Mozart,   Amadeus (1984),https://www.personality-database.com/profile_images/22706.png?=undefined
58 / 12  ,ENFP,7w6,John Hammond,   Jurassic Park / Jurassic World,https://www.personality-database.com/profile_images/2468.png?=undefined
58 / 25  ,ENFP,6w7,Jane Porter,   Tarzan (1999),https://www.personality-database.com/profile_images/11326.png?=undefined
58 / 26  ,ENFP,7w6,Chip,   Beauty and the Beast (1991),https://www.personality-database.com/profile_images/8775.png?=undefined
56 / 17  ,ENFP,3w2,Lois Lane,   DC Extended Universe,https://www.personality-database.com/profile_images/2338.png?=undefined
56 / 20  ,ENFP,7w6,"Karen ""Voyd""",   The Incredibles (Franchise),https://www.personality-database.com/profile_images/13702.png?=undefined
55 / 20  ,ENFP,7w6,Louisa Clark,   Me Before You (2016),https://www.personality-database.com/profile_images/16682.png?=undefined
54 / 13  ,ENFP,7w6,Bridget Jones,   Bridget Jones's Diary (franchise),https://www.personality-database.com/profile_images/6171.png?=undefined
53 / 19  ,ENFP,7w6,Adolf Hitler,   Jojo Rabbit (2019),https://www.personality-database.com/profile_images/66580.png?=undefined
52 / 26  ,ENFP,7w6,Patrick Stewart,   The Perks of Being a Wallflower (2012),https://www.personality-database.com/profile_images/23951.png?=undefined
50 / 22  ,ENFP,6w7,Rowley Jefferson,   Diary of a Wimpy Kid,https://www.personality-database.com/profile_images/93243.png?=undefined
50 / 13  ,ENFP,2w1,Andrea Sachs,   The Devil Wears Prada (2006),https://www.personality-database.com/profile_images/14711.png?=undefined
50 / 17  ,ENFP,7w8,George Bailey,   It's a Wonderful Life (1946),https://www.personality-database.com/profile_images/8899.png?=undefined
50 / 21  ,ENFP,6w7,Dopey,   Snow White and the Seven Dwarfs (1937),https://www.personality-database.com/profile_images/13840.png?=undefined
49 / 7  ,ENFP,7w8,Princess Unikitty,   The Lego Movies,https://www.personality-database.com/profile_images/19644.png?=undefined
49 / 18  ,ENFP,7w6,Buddy,   Elf (2003),https://www.personality-database.com/profile_images/33877.png?=undefined
46 / 16  ,ENFP,7w6,"Peter Porker ""Spider-Ham""",   Spider-Man: Into the Spider-Verse (2018),https://www.personality-database.com/profile_images/22945.png?=undefined
46 / 24  ,ENFP,7w6,Happy,   Snow White and the Seven Dwarfs (1937),https://www.personality-database.com/profile_images/13839.png?=undefined
